Unnamed: 0,Law,state,City,Type,State
30.0,Community leaders passed an ordinance that makes it illegal for anyone to try and stop a child from playfully jumping over puddles of water.,California,,Real,
31.0,It is illegal to drive more than two thousand sheep down Hollywood Boulevard at one time.,California,Hollywood,Real,
32.0,In California it is illegal to have caller ID,California,,Real,
33.0,In California it's against regulations to let phones ring more than nine times in state offices.,California,,Real,
34.0,It is illegal to cry on the witness stand.,California,,Real,
35.0,"It is illegal to own or sell ""Silly String"".",California,Lodi,Real,
36.0,It is illegal to set a mouse trap without a hunting license.,California,,Real,
37.0,Women may not drive in a house coat.,California,,Real,
38.0,Car dealers may not show cars on a Sunday.,Colorado,,Real,
39.0,It is illegal to bring your horse or pack mule above the ground floor of any building.,Colorado,Cripple Creek,Real,
40.0,"The dog catcher must notify dogs of impounding by posting, for three consecutive days, a notice on a tree in the city park and along a public road running through said park; it is unlawful to lend your vacuum cleaner to your next-door neighbor; it is illegal to mistreat rats; you may not drive a black car on Sundays.",Colorado,Denver,Real,
41.0,"In Colorado it's now legal to remove the furniture tags that say, ""Do Not Remove Under Penalty of Law.""",Colorado,,Real,
42.0,It is illegal to mistreat rats in Denver.,Colorado,,Real,
43.0,"In Colorado it's now legal to remove the furniture tags that say, ""Do Not Remove Under Penalty of Law.""",Colorado,,Real,
44.0,It is illegal to let a dandelion grow within the city limits.,Colorado,Pueblo,Real,
45.0,Cats may not run loose without having been fit with a taillight.,Colorado,Sterling,Real,
46.0,"A local ordinance in Atwoodville, Connecticut prohibits people from playing Scrabble while waiting for a politician to speak.",Connecticut,,Real,
47.0,A pickle is not officially a pickle unless it bounces,Connecticut,,Real,
48.0,"Balloons with advertising on them are illegal in Hartford, Conn.",Connecticut,,Real,
49.0,"Bloomfield, Conn: It's against the law to eat in your car.",Connecticut,,Real,
50.0,It is unlawful to walk backwards after sunset.,Connecticut,Devon,Real,
51.0,Only white Christmas lights are allowed for display.,Connecticut,Guilford,Real,
52.0,You aren't allowed to cross a street while walking on your hands.,Connecticut,Hartford,Real,
53.0,You may not educate dogs.,Connecticut,,Real,
55.0,Delaware prohibits horse racing of any kind on Good Friday and Easter Sunday.,Delaware,,Real,
56.0,In Delaware it is illegal to get married on a dare.,Delaware,,Real,
57.0,In Washington D.C. it is illegal to post a notice in public which calls another person a 'coward' for refusing to accept a challenge to duel.,Delaware,,Real,
58.0,"It is unlawful for small boys to throw stones, at any time, at any place in the District of Columbia.",Delaware,,Real,
59.0,The U.S. government says it's a crime to give false weather reports.,Delaware,,Real,
60.0,(SARASOTA) It is illegal to sing in a public place while attired in a swimsuit.,Florida,,Real,
61.0,"A special law prohibits unmarried women from parachuting on Sunday or she shall risk arrest, fine, and/or jailing.",Florida,,Real,
62.0,Florida law forbids rats to leave the ships docked in Tampa Bay.,Florida,,Real,
63.0,Ambling and strolling is a misdemeanor.,Florida,Hialeah,Real,
64.0,"If an elephant is left tied to a parking meter, the parking fee has to be paid just as it would for a vehicle.",Florida,,Real,
65.0,In Florida failure to tell your neighbor his house is on fire is illegal.,Florida,,Real,
66.0,In Florida it is illegal to fish while driving across a bridge.,Florida,,Real,
67.0,It is illegal to skateboard without a license.,Florida,,Real,
68.0,"Women may be fined for falling asleep under a hair dryer, as can the salon owner.",Florida,,Real,
69.0,"You are not allowed to break more than three dishes per day, or chip the edges of more than four cups and/or saucers.",Florida,,Real,
70.0,All citizens must own a rake.,Georgia,Acworth,Real,
71.0,Against the law to tie a giraffe to a telephone pole or street lamp.,Georgia,,Real,
72.0,Donkeys may not be kept in bathtubs.,Georgia,,Real,
73.0,Chicken must be eaten with the hands.,Georgia,Gainesville,Real,
74.0,It is illegal in Georgia to use profanity in the presence of a corpse.,Georgia,,Real,
75.0,"In Quitman, It is illegal for a chicken to cross the road.",Georgia,,Real,
76.0,"It is illegal to say ""Oh, Boy""",Georgia,Jonesboro,Real,
77.0,"Though it is illegal to spit from a car or bus, citizens may spit from a truck.",Georgia,Marietta,Real,
78.0,All residents may be fined as a result of not owning a boat.,Hawaii,,Real,
79.0,Coins are not allowed to be placed in one's ears.,Hawaii,,Real,
80.0,"Within the limits of any public park, it is unlawful to annoy any bird.",Hawaii,Honolulu,Real,
81.0,In Hawaii it is illegal to get a tattoo behind your ear or on your eyelid unless in the presence of a registered physician.,Hawaii,,Real,
83.0,Residents may not fish from a giraffe's back.,Idaho,Boise,Real,
84.0,"Idaho Falls, Idaho: If you're 88 years of age or older, it's illegal for you to ride your motorcycle.",Idaho,,Real,
85.0,Idaho state law makes it illegal for a man to give his sweetheart a box of candy weighing less than fifty pounds.,Idaho,,Real,
86.0,Riding a merry-go-round on Sundays is considered a crime.,Idaho,,Real,
87.0,"A state law in Illinois mandates that all bachelors should be called master, not mister, when addressed by their female counterparts.",Illinois,,Real,
88.0,"According to state law, it is illegal to speak English. The officially recognized language is ""American"".",Illinois,,Real,
89.0,Wheelbarrows with For-Sale signs may not be chained to trees.,Illinois,Des Plaines,Real,
90.0,A man with a moustache may not kiss a woman.,Illinois,Eureka,Real,
91.0,"Bowling is forbidden; It is illegal to go trick-or-treating on Halloween; It is unlawful to change clothes in an automobile with the curtains drawn, except in case of fire.",Illinois,Evanston,Real,
92.0,It is against the law to use a slingshot unless you are a law enforcement officer.,Illinois,Homer,Real,
93.0,"In Illinois, it is illegal for anyone to give lighted cigars to dogs, cats, and other domesticated animal kept as pets.",Illinois,,Real,
94.0,In Chicago it is also illegal to take a French poodle to the opera,Illinois,,Real,
95.0,Bees are not allowed to fly over the village or through any of Kirkland's streets.,Illinois,Kirkland,Real,
96.0,Law forbids eating in a place that is on fire.,Illinois,,Real,
97.0,A rooster must step back three hundred feet from any residence if he wishes to crow; Hens that wish to cackle must step two hundred feet back from any residence.,Illinois,Kenilworth,Real,
98.0,It is against the law to make faces at dogs.,Illinois,Normal,Real,
99.0,"You may be convicted of a Class 4 felony offense, punishable by up to three years in state prison, for the crime of ""eavesdropping"" on your own conversation.",Illinois,,Real,
100.0,"""Spiteful Gossip"" and ""talking behind a person's back"" are illegal.",Indiana,,Real,
101.0,All males 18 to 50 years old must work six days a year on public roads.,Indiana,,Real,
102.0,"Back in 1924, a monkey was convicted in South Bend of the crime of smoking a cigarette and sentenced to pay a 25 dollar fine and the trial costs.",Indiana,,Real,
103.0,It is illegal to make a monkey smoke a cigarette.,Indiana,South Bend,Real,
104.0,Bathing is prohibited during the winter.,Indiana,,Real,
105.0,It is forbidden to eat watermelon in the park.,Indiana,Beech Grove,Real,
106.0,Citizens are not allowed to attend a cinema or theatre nor ride in a public streetcar within at least four hours after eating garlic.,Indiana,,Real,
107.0,It is against the law to pass a horse on the street.,Indiana,,Real,
108.0,Hotel sheets must be exactly 99 inches long and 81 inches wide.,Indiana,,Real,
109.0,"If any person has a puppet show, wire dancing or tumbling act in the state of Indiana and receives money for it, they will be fined $3 under the Act to Prevent Certain Immoral Practices.",Indiana,,Real,
110.0,No one may catch a fish with his bare hands.,Indiana,,Real,
112.0,A man with a moustache may never kiss a woman in public.,Iowa,,Real,
113.0,"Horses are forbidden to eat fire hydrants in Marshalltown, Iowa.",Iowa,,Real,
114.0,In Fort Madison the fire department is required to practice fire fighting for fifteen minutes before attending a fire.,Iowa,,Real,
115.0,"In Ottumwa, Iowa, ""It is unlawful for any male person, within the corporate limits of the (city), to wink at any female person with whom he is unacquainted.""",Iowa,,Real,
116.0,"In Kansas City, KS, saying the name ""George Washington"" without adding the phrase ""blessed be his name,"" can land you with a fine of up to fifty cents.",Kansas,,Real,
117.0,All cars entering the city limits must first sound their horn to warn the horses of their arrival. No one may wear a bee in their hat.,Kansas,Lawrence,Real,
118.0,It is illegal to catch bullfrogs in a tomato patch.,Kansas,,Real,
119.0,It is illegal to hunt whales.,Kansas,,Real,
120.0,It is illegal to put ice cream on cherry pie in Kansas.,Kansas,,Real,
121.0,In Kentucky every citizen of is required to take a shower once a year.,Kentucky,,Real,
122.0,A woman may not buy a hat without her husband's permission.,Kentucky,Owensboro,Real,
123.0,It is illegal in Kentucky to marry the same man more than 3 times.,Kentucky,,Real,
124.0,An old ordinance declares goatees illegal unless you first pay a special license fee for the privilege of wearing one in public.,Louisiana,,Real,
125.0,"Biting someone with your natural teeth is ""simple assault"", while biting someone with your false teeth is ""aggravated assault"".",Louisiana,,Real,
126.0,It is illegal to gargle in public places.,Louisiana,,Real,
127.0,It illegal for a woman to drive a car unless her husband is waving a flag in front of it.,Louisiana,,Real,
128.0,"It is illegal in Lafayette, Louisiana to play a musical instrument for the purpose of attracting attention, without a license.",Louisiana,,Real,
129.0,Mourners at a wake may not eat more than three sandwiches.,Louisiana,,Real,
130.0,You may not tie an alligator to a fire hydrant.,Louisiana,New Orleans,Real,
131.0,After January 14th you will be charged a fine for having your Christmas decorations still up.,Maine,,Real,
132.0,In Augusta to stroll down the street playing a violin is against the law.,Maine,,Real,
133.0,In Portland shoelaces must be tied while walking down the street.,Maine,,Real,
134.0,"In Waterville, Maine, it is illegal to blow one's nose in public.",Maine,,Real,
135.0,It's unlawful to tickle a woman's chin with a feather duster in Portland.,Maine,,Real,
136.0,You may not step out of a plane in flight.,Maine,,Real,
138.0,"Though you may spit on a city roadway, spitting on city sidewalks is prohibited. You may not curse inside the city limits.",Maryland,Baltimore City,Real,
139.0,Eating while swimming in the ocean is prohibited.,Maryland,,Real,
140.0,In Baltimore it is illegal to mistreat oysters.,Maryland,,Real,
141.0,"In Baltimore, it is illegal to wash or scrub sinks no matter how dirty they get.",Maryland,,Real,
142.0,"In Baltimore, Maryland, it is illegal to take a lion to the movies.",Maryland,,Real,
143.0,It is a violation to be in a public park with a sleeveless shirt -$10 fine.,Maryland,,Real,
144.0,You cannot throw a bale of hay out of a second story window in Annapolis.,Maryland,,Real,
145.0,"At a wake, mourners may eat no more than three sandwiches.",Massachusetts,,Real,
146.0,It is illegal to play the fiddle.,Massachusetts,Boston,Real,
147.0,"Holyoke, Massachusetts, makes it unlawful to water your lawn when it is raining.",Massachusetts,,Real,
148.0,"In Boston, Massachusetts it is illegal to take a bath unless instructed to do so by a physician.",Massachusetts,,Real,
149.0,"In Massachusetts, it is unlawful to deliver diapers on Sunday, regardless of emergencies.",Massachusetts,,Real,
150.0,In Massachusetts you must have a license to wear a goatee.,Massachusetts,,Real,
151.0,"In Massachusetts, if you get caught eating peanuts in church, you can be jailed for up to one year.",Massachusetts,,Real,
152.0,"In Provincetown, Mass., it's illegal to sell suntan oil until after noon on Sunday.",Massachusetts,,Real,
153.0,It is illegal to frighten a pigeon.,Massachusetts,,Real,
154.0,It is illegal to put tomatoes in clam chowder.,Massachusetts,,Real,
155.0,It's illegal to keep a mule on the second floor of a building not in a city unless there are 2 exits.,Massachusetts,,Real,
156.0,It is illegal for two men to carry a bathtub across the town green.,Massachusetts,Longmeadow,Real,
157.0,"It is illegal to buy, sell or possess a squirt gun. Silly string is illegal in the city limits.",Massachusetts,Marlboro,Real,
158.0,All families must be given a hog from the town's mayor.,Massachusetts,Newton,Real,
159.0,No gorilla is allowed in the back seat of any car.,Massachusetts,,Real,
160.0,Snoring is prohibited unless all bedroom windows are closed and securely locked.,Massachusetts,,Real,
161.0,Defacing a milk carton is punishable by a $10 fine.,Massachusetts,,Real,
162.0,A Michigan law states that a wife's hair legally belongs to her husband.,Minnesota,,Real,
163.0,A woman isn't allowed to cut her own hair without her husband's permission.,Minnesota,,Real,
164.0,"In Detroit, Michigan it is illegal to sleep in a bathtub.",Minnesota,,Real,
165.0,"Blue Earth, Minnesota, law declares that no child under the age of twelve may talk over the telephone unless monitored by a parent.",Minnesota,,Real,
166.0,A person may not cross state lines with a duck atop his head.,Minnesota,,Real,
167.0,All bathtubs must have feet.,Minnesota,,Real,
168.0,All men driving motorcycles must wear shirts.,Minnesota,,Real,
169.0,"Every man in Brainerd, Minnesota is required by law to grow a beard.",Minnesota,,Real,
170.0,Hamburgers may not be eaten on Sundays.,Minnesota,,Real,
171.0,"In Minnesota, it's illegal to tease skunks.",Minnesota,,Real,
172.0,You're not allowed to park your elephant on Main Street.,Minnesota,Virginia,Real,
173.0,It is against the law to serenade your girlfriend.,Minnesota,Kalamazoo,Real,
175.0,"In Temperance, MS, you can't walk a dog without dressing it in diapers.",Mississippi,,Real,
176.0,It is illegal to drive around the town square more than 100 times in a single session.,Mississippi,,Real,
177.0,It is unlawful to shave in the center of Main Street.,Mississippi,Tylertown,Real,
178.0,Hard objects may not be thrown by hand. Worrying squirrels is not tolerated.,Missouri,Excelsior Springs,Real,
179.0,Four women may not rent an apartment together.,Missouri,,Real,
180.0,It is not illegal to speed.,Missouri,,Real,
181.0,Dancing is strictly prohibited.,Missouri,Purdy,Real,
182.0,It is a felony for a wife to open her husband's mail.,Montana,,Real,
183.0,Balls may not be thrown within the city limits.,Montana,,Real,
184.0,A man is not allowed to run around with a shaved chest.,Nebraska,,Real,
185.0,A parent can be arrested if her/his child cannot hold back a burp during a church service.,Nebraska,,Real,
186.0,It is illegal for a mother to give her daughter a perm without a state license.,Nebraska,,Real,
187.0,Doughnut holes may not be sold,Nebraska,Lehigh,Real,
188.0,Barbers are forbidden from eating onions between 7 A.M. and 7 P.M.,Nebraska,Waterloo,Real,
189.0,Everyone walking the streets is required to wear a mask.,Nevada,Elko,Real,
190.0,"In Las Vegas, Nevada: It's against the law to pawn your dentures.",Nevada,,Real,
191.0,It is illegal to drive a camel on the highway.,Nevada,,Real,
192.0,"If a person is caught raking the beaches, picking up litter, hauling away trash, building a bench for the park, or many other kind things without a permit, he/she may be fined $150 for ''maintaining the national forest without a permit''.",New Hampshire,,Real,
193.0,"New Hampshire law forbids you to tap your feet, nod your head, or in any way keep time to the music in a tavern, restaurant, or cafe.",New Hampshire,,Real,
194.0,You may not run machinery on Sundays.,New Hampshire,,Real,
195.0,Automobiles are not to pass horse drawn carriages on the street.,New Jersey,,Real,
196.0,"Bernard’s Township: It is illegal to frown as the town is a ""Frown-Free Town Zone"".",New Jersey,,Real,
197.0,You may not dance or wear shorts on the main avenue.,New Jersey,Caldwell,Real,
198.0,All cats must wear three bells to warn birds of their whereabouts.,New Jersey,Cresskill,Real,
200.0,In New Jersey it is illegal to delay or detain a homing pigeon.,New Jersey,,Real,
201.0,"In New Jersey, it is illegal to slurp soup.",New Jersey,,Real,
202.0,It is against the law for a man to knit during the fishing season.,New Jersey,,Real,
203.0,"It is against the law to ""frown"" at a police officer.",New Jersey,,Real,
204.0,It is illegal to delay or detain a homing pigeon.,New Jersey,,Real,
205.0,"It is illegal to sell ice cream after 6pm, unless the customer has a note from his doctor.",New Jersey,Newark,Real,
206.0,You cannot pump your own gas. All gas stations are full service and full service only.,New Jersey,,Real,
207.0,"A city council member in Albuquerque, N.M., introduced a resolution a few years ago to ban Santa Claus from the city. The matter was defeated.",New Mexico,,Real,
208.0,"In Albuquerque, New Mexico it is illegal for cab drivers to reach out and pull potential customers into their cabs.",New Mexico,,Real,
209.0,You may not carry a lunchbox down Main Street.,New Mexico,Las Cruces,Real,
210.0,A fine of $25 can be levied for flirting.,New York,,Real,
211.0,A license must be purchased before hanging clothes on a clothesline.,New York,,Real,
212.0,A man can't go outside while wearing a jacket and pants that do not match.,New York,Carmel,Real,
213.0,"Citizens may not greet each other by ""putting one's thumb to the nose and wiggling the fingers"".",New York,,Real,
214.0,"Donkeys are not allowed to sleep in bathtubs in Brooklyn, N.Y.",New York,,Real,
215.0,"During a concert, it is illegal to eat peanuts and walk backwards on the sidewalks.",New York,,Real,
216.0,"In New York, you can teach your pet parrot to speak, but not to squawk.",New York,,Real,
217.0,In New York City it's illegal to shake a dust mop out a window.,New York,,Real,
218.0,It is against the law to throw a ball at someone's head for fun.,New York,,Real,
219.0,"Jaywalking is legal, as long as it's not diagonal. That is, you can cross the street out of the crosswalk, but you can't cross a street diagonally.",New York,,Real,
220.0,Slippers are not to be worn after 10:00 P.M.,New York,,Real,
221.0,You may only water your lawn if the hose is held in your hand.,New York,Staten Island,Real,
222.0,"While riding in an elevator, one must talk to no one, and fold his hands while looking toward the door.",New York,,Real,
223.0,Fights between cats and dogs are prohibited.,North Carolina,Barber,Real,
224.0,Elephants may not be used to plow cotton fields.,North Carolina,,Real,
225.0,"In Asheville, North Carolina, it is illegal to sneeze on city streets.",North Carolina,,Real,
226.0,"In Raleigh, North Carolina, before a man asks for a woman's hand in marriage, he must be ""inspected by all the barnyard animals on the young woman's family's property, to ensure a harmonious farm life.""",North Carolina,,Real,
227.0,In Nags Head North Carolina you can be fined for singing out of tune for more than ninety seconds.,North Carolina,,Real,
228.0,You may not ride a bicycle without having both your hands on the handle bars.,North Carolina,Kill Devil Hills,Real,
230.0,"One may be jailed for wearing a hat while dancing, or even for wearing a hat to a function where dancing is taking place.",North Dakota,Fargo,Real,
231.0,In North Dakota it is illegal to keep an elk in a sandbox in your backyard.,North Dakota,,Real,
232.0,"In Waverly you better not let your horse near the tub, since horses are prohibited from sleeping in them, as well as in the house.",North Dakota,,Real,
233.0,It is illegal to lie down and fall asleep with your shoes on.,North Dakota,,Real,
234.0,"According to Ohio law, it's against the law to kill a housefly within 160 feet of a church without a license.",Ohio,,Real,
235.0,It is illegal to walk a cow down Lake Road.,Ohio,Bay Village,Real,
236.0,It's illegal to catch mice without a hunting license!,Ohio,Cleveland,Real,
237.0,Any person who leans against a public building will be subject to fines.,Ohio,Clinton County,Real,
238.0,"In Chillicothe, Ohio it is illegal to throw rice at weddings.",Ohio,,Real,
239.0,It is illegal for stores to sell corn flakes on Sunday.,Ohio,Columbus,Real,
240.0,"It's against the law to honk your horn ""excessively"". A grandmother was fined for honking her horn twice at her neighbor.",Ohio,Fairview Park,Real,
241.0,It is legal to throw a snake at someone but it is illegal to shake a snake at someone.,Ohio,,Real,
242.0,Items left on a tree lawn become city property.,Ohio,,Real,
243.0,You cannot eat a doughnut and walk backwards on a city street.,Ohio,Marion,Real,
244.0,Your goose may not paraded down Main Street.,Ohio,McDonald,Real,
245.0,No one may be arrested on Sunday or on the Fourth of July.,Ohio,,Real,
246.0,You may not run out of gas.,Ohio,,Real,
247.0,"A City Ordinance in Oklahoma, states that it shall be unlawful to put any hypnotized person in a display window.",Oklahoma,,Real,
248.0,"If you wear New York Jets clothing, you may be put in jail.",Oklahoma,Ada,Real,
249.0,"In Bromide, Oklahoma it is illegal for children to use towels as capes and jump from houses pretending to be superman.",Oklahoma,,Real,
250.0,"In Oklahoma, people who make ""ugly faces"" at dogs may be fined and/or jailed.",Oklahoma,,Real,
251.0,"In Tulsa, Oklahoma, it is against the law to open a soda bottle without the supervision of a licensed engineer.",Oklahoma,,Real,
252.0,It is against the law to read a comic book while operating a motor vehicle.,Oklahoma,,Real,
253.0,It is illegal to wear your boots to bed.,Oklahoma,,Real,
254.0,Oklahoma will not tolerate anyone taking a bite out of another's hamburger.,Oklahoma,,Real,
255.0,Tattoos are banned.,Oklahoma,,Real,
256.0,Tissues are not to be found in the back of one's car.,Oklahoma,,Real,
257.0,Dishes must drip dry.,Oregon,,Real,
258.0,Juggling is strictly prohibited without a license.,Oregon,Hood River,Real,
259.0,It's against the law for a wedding ceremony to be performed at a skating rink.,Oregon,,Real,
260.0,Ministers are forbidden from eating garlic or onions before delivering a sermon.,Oregon,,Real,
261.0,One may not box with a kangaroo.,Oregon,Myrtle Creek,Real,
263.0,People may not whistle underwater.,Oregon,,Real,
264.0,Women may not wrestle in Salem.,Oregon,Salem,Real,
265.0,A special cleaning ordinance bans homemakers from hiding dirt and dust under a rug in a dwelling.,Pennsylvania,,Real,
266.0,All fire hydrants must be checked one hour before all fires.,Pennsylvania,,Real,
267.0,"If a motorist sees a horse coming down the road, the driver must pull off to the side of the road and cover the vehicle with canvas. If the horse is still scared the driver must get out of his car and take it apart until the horse isn't scared anymore.",Pennsylvania,,Real,
268.0,It is illegal to sleep on top of a refrigerator outdoors.,Pennsylvania,,Real,
269.0,"In Philadelphia, you can't put pretzels in bags.",Pennsylvania,,Real,
270.0,It is required that a woman have a permit to wear cosmetics.,Pennsylvania,Morrisville,Real,
271.0,You cannot walk backwards eating peanuts in front of the Barnstormers Auditorium during a performance.,Pennsylvania,Ridley Park,Real,
272.0,You may not catch a fish by any body part except the mouth.,Pennsylvania,,Real,
273.0,"In Providence, Rhode Island it is illegal to sell toothpaste and a toothbrush to the same customer on a Sunday.",Rhode Island,,Real,
274.0,"In Scituate, Rhode Island it is illegal to keep a flock of chickens in your motorhome if you live in a trailer park.",Rhode Island,,Real,
275.0,It is considered an offense to throw pickle juice on a trolley.,Rhode Island,,Real,
276.0,"By law, if a man promises to marry an unmarried woman, the marriage must take place.",South Carolina,,Real,
277.0,Every adult male must bring a rifle to church on Sunday in order to ward off Indian attacks.,South Carolina,,Real,
278.0,Horses are to wear pants at all times.,South Carolina,Fountain Inn,Real,
279.0,Horses may not be kept in bathtubs.,South Carolina,,Real,
280.0,Merchandise may not be sold within a half mile of a church unless fruit is being sold.,South Carolina,,Real,
281.0,Musical instruments may not be sold on Sunday.,South Carolina,,Real,
282.0,No work may be done on Sunday. An exception is that light bulbs may be sold.,South Carolina,,Real,
283.0,"On Hilton Head Island, South Carolina it is illegal to shine a flashlight on a sea turtle",South Carolina,,Real,
284.0,"Performing a U-turn within 1,000 feet of an intersection is illegal.",South Carolina,,Real,
285.0,Railroad companies may be held liable in some instances for scaring horses.,South Carolina,,Real,
286.0,Eating watermelons in the Magnolia Street cemetery is forbidden.,South Carolina,Spartanburg,Real,
287.0,It is illegal to lie down and fall asleep in a cheese factory.,South Dakota,,Real,
289.0,Driving is not to be done while asleep.,Tennessee,,Real,
290.0,It is illegal for a woman to call a man for a date.,Tennessee,Dyersburg,Real,
291.0,Hollow logs may not be sold.,Tennessee,,Real,
292.0,"In Memphis, it is illegal for a woman to drive a car unless there is a man either running or walking in front of it, waving a red flag to warn approaching motorists and pedestrians.",Tennessee,,Real,
293.0,It is illegal to catch a fish with a lasso.,Tennessee,,Real,
294.0,It's illegal for frogs to croak after 11 PM.,Tennessee,,Real,
295.0,"An ordinance forbids anyone to sing the song ""It Ain't Goin' To Rain No Mo'.""",Tennessee,Oneida,Real,
296.0,A city ordinance states that a person cannot go barefoot without first obtaining a special five-dollar permit.,Texas,,Real,
297.0,"A recently passed anticrime law requires criminals to give their victims 24 hours’ notice, either orally or in writing, and to explain the nature of the crime to be committed.",Texas,,Real,
298.0,"It is against the law to throw confetti, rubber balls, feather dusters, whips or quirts (riding crop), and explosive firecrackers of any kind.",Texas,Borger,Real,
299.0,It is illegal to dust any public building with a feather duster.,Texas,Clarendon,Real,
300.0,"In Mesquite, Texas it is illegal for kids to have unusual haircuts.",Texas,,Real,
301.0,It is illegal to milk another person's cow.,Texas,,Real,
302.0,There is an old law in Texas that states you are unable to tuck your pants into one boot unless you own ten or more cattle.,Texas,,Real,
303.0,You can be legally married by publicly introducing a person as your husband or wife 3 times.,Texas,,Real,
304.0,Birds have the right of way on all highways.,Utah,,Real,
305.0,In Utah it is illegal to fish from horseback.,Utah,,Real,
306.0,"In Utah, the husband is responsible for every criminal act committed by his wife while she is in his presence.",Utah,,Real,
307.0,It is illegal not to drink milk.,Utah,,Real,
308.0,Throwing snowballs will result in a $50 fine.,Utah,Provo,Real,
309.0,No one may walk down the street carrying a paper bag containing a violin.,Utah,Salt Lake City,Real,
310.0,Children are not to go trick-or-treating on Halloween.,Virginia,,Real,
311.0,No one may wash a mule on the sidewalk.,Virginia,Culpeper,Real,
312.0,"In Christiansburg, Va., it's illegal to imitate a police whistle.",Virginia,,Real,
313.0,It is illegal to flip a coin in a restaurant to see who pays for a coffee.,Virginia,Richmond,Real,
314.0,Swearing at someone over the phone in virginia is punishable by a $100 fine.,Virginia,,Real,
315.0,There was once a law in Salem Virginia that made it illegal to leave home without knowing where you were going.,Virginia,,Real,
317.0,All lollipops are banned,Washington,,Real,
318.0,In the state of Washington it's illegal to catch a fish by throwing a rock at it.,Washington,,Real,
319.0,Washington State doesn't allow fake wrestling.,Washington,,Real,
320.0,You may not ride an ugly horse.,Washington,Wilbur,Real,
321.0,"According to the state constitution, it is unlawful for anyone to own a red or a black flag.",Virginia,,Real,
322.0,"One may not walk a lion, tiger or leopard, even on a leash.",Virginia,Alderson,Real,
323.0,"If you wear a hat inside a theater, you may be fined.",Virginia,,Real,
324.0,It is illegal to snooze on a train.,Virginia,,Real,
325.0,It is unlawful for chickens to lay eggs before 8AM and after 4PM.,Virginia,,Real,
326.0,No member of the clergy is allowed to tell jokes or humorous stories from the pulpit during a church service.,Virginia,Nicholas County,Real,
327.0,"No children may attend school with their breath smelling of ""wild onions.""",Virginia,,Real,
328.0,"At one time, margarine was illegal.",Wisconsin,,Real,
329.0,Cheese making requires a cheese maker's license; Limburger cheese making requires a master cheese maker's license.,Wisconsin,,Real,
330.0,"In St. Croix, women are not allowed to wear anything red in public.",Wisconsin,,Real,
331.0,In Wisconsin you are allowed to marry your house.,Wisconsin,,Real,
332.0,"In Wisconsin, after 3:00 a.m., you have to send a rocket signal in the air after every mile you drive.",Wisconsin,,Real,
333.0,"In Wisconsin, it is illegal to cut a woman's hair or to kiss on a train.",Wisconsin,,Real,
334.0,It is illegal to wake a fireman when he is asleep.,Wisconsin,Racine,Real,
335.0,Cheyenne Citizens may not take showers on Wednesdays.,Wyoming,,Real,
336.0,In Wyoming it is illegal to tattoo a horse with the intent of making it unrecognizable to its owner.,Wyoming,,Real,
337.0,You may not take a picture of a rabbit during the month of June.,Wyoming,,Real,
,It is illegal to whistle while walking past a cat in downtown Birmingham,,,Fake,Alabama
